,state,state_name,state_abbrev,state_population,state_swing,death_proportion,state_pop_density,hospitals_per_head,median_salary,race pop,population,perc_of_pop_race
133,New York,New York,N.Y.,19299981,3.0,0.3489744368142124,409.54,9.034072609650523e-06,"50,000.00",native_pop,42268,0.0021900539694831825
134,Ohio,Ohio,Ohio,11714618,0.0,0.0864304751550584,286.6944,1.6288879749548327e-05,"46,002.00",native_pop,16111,0.0013752902570105146
135,Oklahoma,Oklahoma,Okla.,3990443,0.0,0.12221700698393637,58.174,3.4856764891466056e-05,"45,000.00",native_pop,303050,0.0759439490803402
136,Oregon,Oregon,Ore.,4289439,3.0,0.2817384744252104,44.6872,1.3129723708897647e-05,"45,000.00",native_pop,40821,0.009516629097651231
137,Pennsylvania,Pennsylvania,Pa.,12804123,1.0,0.12648269623776653,286.1704,1.583562204503846e-05,"49,088.00",native_pop,17150,0.001339412312737077
138,Rhode Island,Rhode Island,R.I.,1061509,3.0,0.11822791893427187,1026.6044,1.2618726685303823e-05,"50,000.00",native_pop,2291,0.0021582483050073056
139,South Carolina,South Carolina,S.C.,5277830,0.0,0.12993976691178002,175.5707,1.442214831830952e-05,"45,000.00",native_pop,15810,0.002995549307196329
140,South Dakota,South Dakota,S.D.,896581,0.0,0.07807437364833741,11.8265,6.564064602918741e-05,"40,000.00",native_pop,73878,0.0823996939484553
141,Tennessee,Tennessee,Tenn.,6944260,0.0,0.13802766601480934,168.4069,1.8549890275447162e-05,"42,000.00",native_pop,17899,0.0025775244590496324
142,Texas,Texas,Tex.,29730311,0.0,0.1256259983287763,113.8081,1.5183428657777294e-05,"45,000.00",native_pop,77748,0.0026151088698668505
143,Utah,Utah,Utah,3310774,0.0,0.017669584212030177,40.2918,1.6058068036761634e-05,"45,000.00",native_pop,30210,0.009124754513597122
144,Virginia,Virginia,Va.,8603985,3.0,0.06639946489911361,217.8776,1.0365921755339841e-05,"54,000.00",native_pop,17497,0.0020335925736737104
145,Vermont,Vermont,Vt.,623251,3.0,0.01203367503622136,67.6197,2.5247217469933518e-05,"50,000.00",native_pop,2435,0.003906933161759869
146,Washington,Washington,Wash.,7796941,3.0,0.03633476256906395,117.3249,1.2204516455471718e-05,"54,000.00",native_pop,86811,0.011133981903928733
147,Wisconsin,Wisconsin,Wis.,5852490,1.0,0.1378216793194008,108.0633,2.240169144189414e-05,"45,000.00",native_pop,49093,0.008388395366758422
148,West Virginia,West Virginia,W.Va.,1767859,0.0,0.10283625560635774,73.5443,3.147913480941002e-05,"39,185.00",native_pop,3529,0.0019961999231839192
149,Wyoming,Wyoming,Wyo.,581075,0.0,0.053177300692681666,5.9847,4.7920494211880216e-05,"45,000.00",native_pop,12291,0.021152174848341435
150,Alaska,Alaska,Alaska,724357,0.0,0.040863828195213135,1.2694,3.276299716778923e-05,"50,000.00",asian_pop,43322,0.0598075258470616
151,Alabama,Alabama,Ala.,4934193,0.0,0.13734768785898727,97.4271,1.9396795108741385e-05,"46,000.00",asian_pop,65215,0.013216953613285901
152,Arkansas,Arkansas,Ark.,3033946,0.0,0.14255362488323786,58.3059,3.011510057621537e-05,"42,000.00",asian_pop,45839,0.015108706615081482
153,Arizona,Arizona,Ariz.,7520103,1.0,0.1666599513331134,66.2016,1.349402668929339e-05,"43,000.00",asian_pop,235202,0.03127643331480965
154,California,California,Calif.,39613493,3.0,0.13017029323821558,254.2929,9.407324336285771e-06,"48,200.00",asian_pop,5786711,0.14607929172012174
155,Colorado,Colorado,Colo.,5893634,3.0,0.042265943219412676,56.8653,1.5292519701125808e-05,"46,000.00",asian_pop,183793,0.0311850040229848
156,Connecticut,Connecticut,Conn.,3552821,3.0,0.10574695432165032,733.7507,9.710593356659398e-06,"55,000.00",asian_pop,165523,0.04658917519345895
157,Delaware,Delaware,Del.,990334,3.0,0.07391445714274174,508.1242,1.3172688027213313e-05,"44,000.00",asian_pop,36366,0.03672094465099653
158,Florida,Florida,Fla.,21944577,0.0,0.12139673505668394,409.2229,1.1537884735713976e-05,"40,000.00",asian_pop,587358,0.02676551933536928
159,Georgia,Georgia,Ga.,10830007,1.0,0.10792236791721371,188.3054,1.3351502809235498e-05,"42,000.00",asian_pop,435875,0.040246973062898296
160,Hawaii,Hawaii,Hawaii,1406430,3.0,0.022681541207169927,218.9678,1.665605055131266e-05,"48,000.00",asian_pop,539409,0.3835306414112327
