,state,demo2016,demo2020,rep2016,rep2020
1,AL,0.3435794575797364,0.36569990212122333,0.6208309236440906,0.620316431668648
2,AK,0.36550871290111986,0.42771952271020497,0.5128151207753728,0.5283314327038078
3,AZ,0.4512602184469321,0.49364690614366613,0.4867161647232105,0.4905598103046474
4,AR,0.33653124129360934,0.34775061953014963,0.6057410216382829,0.6239572985614432
5,CA,0.6172639960455788,0.6348394689387351,0.3161710653843943,0.3432072362528492
6,CO,0.48156980382847403,0.5501106714065329,0.4325139737143104,0.4160412563491241
7,CT,0.5456630109670987,0.5926073151568352,0.40926914378814777,0.3918711828833072
8,DE,0.5335333680563419,0.5874300579364167,0.41922824339319276,0.3977487677110555
9,DC,0.9048388386787171,0.9214969392140692,0.04070383108054067,0.05397321376714795
10,FL,0.4782331580580505,0.47861450725442234,0.49021941416590736,0.5121981962250404
11,GA,0.4563998335736082,0.49473055784446274,0.50771326054771,0.492374738997912
12,HI,0.6098079805512905,0.6314937976901742,0.29439707172625573,0.3395471416941482
13,ID,0.27492013820979205,0.33066402154803953,0.5926143236919689,0.6383756483190364
14,IL,0.558253666987933,0.5754164537667581,0.3876175307382527,0.40553450818173725
15,IN,0.37774839686752043,0.4096167705971215,0.5694003344841128,0.5702115776570512
16,IA,0.41752513445496237,0.4464723285866375,0.5116206134467737,0.5280019763194579
17,KS,0.36052370732234496,0.41559553538832167,0.5665458180583958,0.5621251283426474
18,KY,0.3268218833364776,0.3615151481115404,0.6251963855190009,0.6208657186929044
19,LA,0.3844956609851397,0.39851456801526214,0.580886846535688,0.5846088241400853
20,ME,0.4634521409730895,0.5252557934577239,0.43476678084498865,0.43551228110418266
21,MD,0.6032574423519277,0.6536066486007711,0.3390930472854767,0.32150291567748757
22,MA,0.5905006509667129,0.6512298370286536,0.3228620279085515,0.3190815758863096
23,MI,0.4727453095086684,0.5062081829082437,0.47497564219996147,0.4783729069113762
24,MN,0.4644503396176695,0.5239509930974001,0.4492519310427733,0.4528494240916937
25,MS,0.40114788271784096,0.41057606455978607,0.5794103808883564,0.5760295457538255
26,MO,0.3813523083523671,0.4140878173618836,0.5677234783816165,0.5679965577888949
27,MT,0.35935218775150346,0.4054936936160908,0.5646619186857719,0.5691846924002028
28,NE,0.33698756377135536,0.39166630941787967,0.5874735112712576,0.5822416333205421
29,NV,0.4791782367811904,0.5005678195728402,0.4550069531760242,0.4766624732455941
30,NH,0.46826262669690555,0.5270782528014766,0.46458666981953417,0.45356259504677604
31,NJ,0.554530844496942,0.5733419675281298,0.4135038665002945,0.41396523857348505
32,NM,0.48255647178634103,0.5428928584957222,0.40042514333242724,0.43496669246129455
33,NY,0.5613614259984896,0.603918845358349,0.32390602305742927,0.3746129384009093
34,NC,0.46172866168209475,0.4858621177736324,0.49828094696180414,0.4993433248829551
35,ND,0.27226739458706006,0.31756762359080093,0.629556278313393,0.6511404873707572
36,OH,0.4355807627672002,0.45239338340705026,0.5168765067578619,0.5327130010087464
37,OK,0.2893168028454389,0.32286174335986634,0.6532286481962736,0.6537327184806295
38,OR,0.5007185200286208,0.5645331865404888,0.39094035184496756,0.4036724604634335
39,PA,0.4785361616456285,0.5000849567544814,0.4857788580374602,0.4884361204017247
40,RI,0.5440660657037472,0.5947619876593357,0.3889805749939674,0.38670380471575855
41,SC,0.4067341978966509,0.43416838497813925,0.5493933268569543,0.5509348091719648
42,SD,0.3173742815994899,0.3560525213613529,0.615307503789588,0.6176938967225024
43,TN,0.34716332798650096,0.37451434271023704,0.6072203369421462,0.6066029416628381
44,TX,0.4323525798101196,0.4647900991387051,0.5223468557933538,0.5205760360355265
45,UT,0.2746126859226901,0.37646048583306063,0.4554081658810042,0.5812983902991959
46,VT,0.5572274212321393,0.6545578055250049,0.29759382401308093,0.3038105712622113
47,VA,0.49751352833417695,0.5410951717780242,0.44427647013924043,0.4399550366728214
48,WA,0.5253868006182659,0.5797030113530306,0.3683268018663746,0.3876697774334327
49,WV,0.26476928017771517,0.29696521244519614,0.6863057481161936,0.6863155192461606
50,WI,0.4645384137224266,0.4944953686142774,0.4721818456731012,0.48822437319608825
51,WY,0.2162890087639303,0.26387866557990397,0.6739841105460841,0.6949978994840271
